Sequence1	Sequence2	MeltingTemp
p1	p2	73
p1	p3	74
p1	p4	73
p1	p5	73
p1	p6	73
p1	p7	72
p1	p8	73
p1	p9	73
p1	p10	74
p1	p11	72
p1	p12	71
p1	p13	72
p1	p14	74
p1	p15	72
p1	p16	72
p2	p3	74
p2	p4	73
p2	p5	74
p2	p6	73
p2	p7	72
p2	p8	73
p2	p9	73
p2	p10	74
p2	p11	72
p2	p12	72
p2	p13	72
p2	p14	74
p2	p15	72
p2	p16	73
p3	p4	72
p3	p5	73
p3	p6	72
p3	p7	71
p3	p8	72
p3	p9	72
p3	p10	73
p3	p11	72
p3	p12	71
p3	p13	71
p3	p14	73
p3	p15	72
p3	p16	72
p4	p5	73
p4	p6	73
p4	p7	72
p4	p8	73
p4	p9	72
p4	p10	74
p4	p11	72
p4	p12	71
p4	p13	72
p4	p14	73
p4	p15	72
p4	p16	72
p5	p6	73
p5	p7	73
p5	p8	73
p5	p9	73
p5	p10	74
p5	p11	73
p5	p12	72
p5	p13	72
p5	p14	74
p5	p15	72
p5	p16	73
p6	p7	71
p6	p8	72
p6	p9	71
p6	p10	73
p6	p11	71
p6	p12	71
p6	p13	71
p6	p14	72
p6	p15	71
p6	p16	71
p7	p8	71
p7	p9	70
p7	p10	72
p7	p11	70
p7	p12	70
p7	p13	70
p7	p14	72
p7	p15	70
p7	p16	70
p8	p9	71
p8	p10	73
p8	p11	71
p8	p12	70
p8	p13	71
p8	p14	72
p8	p15	71
p8	p16	71
p9	p10	72
p9	p11	71
p9	p12	70
p9	p13	70
p9	p14	72
p9	p15	71
p9	p16	71
p10	p11	72
p10	p12	72
p10	p13	72
p10	p14	73
p10	p15	72
p10	p16	72
p11	p12	71
p11	p13	71
p11	p14	73
p11	p15	71
p11	p16	72
p12	p13	72
p12	p14	73
p12	p15	71
p12	p16	72
p13	p14	71
p13	p15	70
p13	p16	70
p14	p15	73
p14	p16	73
p15	p16	72
